"ID";"Woningkenmerken";"RegioS";"Perioden";"GemiddeldAardgasverbruik_1";"GemiddeldElektriciteitsverbruik_2";"Stadsverwarming_3"
"171";"T001100";"CR02  ";"2013JJ00";"";"";""
"172";"T001100";"CR02  ";"2014JJ00";"";"";""
"173";"T001100";"CR02  ";"2015JJ00";"";"";""
"174";"T001100";"CR02  ";"2016JJ00";"";"";""
"175";"T001100";"CR02  ";"2017JJ00";"";"";""
"176";"T001100";"CR03  ";"2010JJ00";"";"";""
"177";"T001100";"CR03  ";"2011JJ00";"";"";""
"178";"T001100";"CR03  ";"2012JJ00";"";"";""
"179";"T001100";"CR03  ";"2013JJ00";"";"";""
"180";"T001100";"CR03  ";"2014JJ00";"";"";""
"181";"T001100";"CR03  ";"2015JJ00";"";"";""
"182";"T001100";"CR03  ";"2016JJ00";"";"";""
"183";"T001100";"CR03  ";"2017JJ00";"";"";""
"184";"T001100";"CR04  ";"2010JJ00";"";"";""
"185";"T001100";"CR04  ";"2011JJ00";"";"";""
"186";"T001100";"CR04  ";"2012JJ00";"";"";""
"187";"T001100";"CR04  ";"2013JJ00";"";"";""
"188";"T001100";"CR04  ";"2014JJ00";"";"";""
"189";"T001100";"CR04  ";"2015JJ00";"";"";""
"190";"T001100";"CR04  ";"2016JJ00";"";"";""
"191";"T001100";"CR04  ";"2017JJ00";"";"";""
"192";"T001100";"CR05  ";"2010JJ00";"";"";""
"193";"T001100";"CR05  ";"2011JJ00";"";"";""
"194";"T001100";"CR05  ";"2012JJ00";"";"";""
"195";"T001100";"CR05  ";"2013JJ00";"";"";""
"196";"T001100";"CR05  ";"2014JJ00";"";"";""
"197";"T001100";"CR05  ";"2015JJ00";"";"";""
"198";"T001100";"CR05  ";"2016JJ00";"";"";""
"199";"T001100";"CR05  ";"2017JJ00";"";"";""
"200";"T001100";"CR06  ";"2010JJ00";"";"";""
"201";"T001100";"CR06  ";"2011JJ00";"";"";""
"202";"T001100";"CR06  ";"2012JJ00";"";"";""
"203";"T001100";"CR06  ";"2013JJ00";"";"";""
"204";"T001100";"CR06  ";"2014JJ00";"";"";""
"205";"T001100";"CR06  ";"2015JJ00";"";"";""
"206";"T001100";"CR06  ";"2016JJ00";"";"";""
"207";"T001100";"CR06  ";"2017JJ00";"";"";""
"208";"T001100";"CR07  ";"2010JJ00";"";"";""
"209";"T001100";"CR07  ";"2011JJ00";"";"";""
"210";"T001100";"CR07  ";"2012JJ00";"";"";""
"211";"T001100";"CR07  ";"2013JJ00";"";"";""
"212";"T001100";"CR07  ";"2014JJ00";"";"";""
"213";"T001100";"CR07  ";"2015JJ00";"";"";""
"214";"T001100";"CR07  ";"2016JJ00";"";"";""
"215";"T001100";"CR07  ";"2017JJ00";"";"";""
"216";"T001100";"CR08  ";"2010JJ00";"";"";""
"217";"T001100";"CR08  ";"2011JJ00";"";"";""
"218";"T001100";"CR08  ";"2012JJ00";"";"";""
"219";"T001100";"CR08  ";"2013JJ00";"";"";""
"220";"T001100";"CR08  ";"2014JJ00";"";"";""
"221";"T001100";"CR08  ";"2015JJ00";"";"";""
"222";"T001100";"CR08  ";"2016JJ00";"";"";""
"223";"T001100";"CR08  ";"2017JJ00";"";"";""
"224";"T001100";"CR09  ";"2010JJ00";"";"";""
"225";"T001100";"CR09  ";"2011JJ00";"";"";""
"226";"T001100";"CR09  ";"2012JJ00";"";"";""
"227";"T001100";"CR09  ";"2013JJ00";"";"";""
"228";"T001100";"CR09  ";"2014JJ00";"";"";""
"229";"T001100";"CR09  ";"2015JJ00";"";"";""
"230";"T001100";"CR09  ";"2016JJ00";"";"";""
"231";"T001100";"CR09  ";"2017JJ00";"";"";""
"232";"T001100";"CR10  ";"2010JJ00";"";"";""
"233";"T001100";"CR10  ";"2011JJ00";"";"";""
"234";"T001100";"CR10  ";"2012JJ00";"";"";""
"235";"T001100";"CR10  ";"2013JJ00";"";"";""
"236";"T001100";"CR10  ";"2014JJ00";"";"";""
"237";"T001100";"CR10  ";"2015JJ00";"";"";""
"238";"T001100";"CR10  ";"2016JJ00";"";"";""
"239";"T001100";"CR10  ";"2017JJ00";"";"";""
"240";"T001100";"CR11  ";"2010JJ00";"";"";""
"241";"T001100";"CR11  ";"2011JJ00";"";"";""
"242";"T001100";"CR11  ";"2012JJ00";"";"";""
"243";"T001100";"CR11  ";"2013JJ00";"";"";""
"244";"T001100";"CR11  ";"2014JJ00";"";"";""
"245";"T001100";"CR11  ";"2015JJ00";"";"";""
"246";"T001100";"CR11  ";"2016JJ00";"";"";""
"247";"T001100";"CR11  ";"2017JJ00";"";"";""
"248";"T001100";"CR12  ";"2010JJ00";"";"";""
"249";"T001100";"CR12  ";"2011JJ00";"";"";""
"250";"T001100";"CR12  ";"2012JJ00";"";"";""
"251";"T001100";"CR12  ";"2013JJ00";"";"";""
"252";"T001100";"CR12  ";"2014JJ00";"";"";""
"253";"T001100";"CR12  ";"2015JJ00";"";"";""
"254";"T001100";"CR12  ";"2016JJ00";"";"";""
"255";"T001100";"CR12  ";"2017JJ00";"";"";""
"256";"T001100";"CR13  ";"2010JJ00";"";"";""
"257";"T001100";"CR13  ";"2011JJ00";"";"";""
"258";"T001100";"CR13  ";"2012JJ00";"";"";""
"259";"T001100";"CR13  ";"2013JJ00";"";"";""
"260";"T001100";"CR13  ";"2014JJ00";"";"";""
"261";"T001100";"CR13  ";"2015JJ00";"";"";""
"262";"T001100";"CR13  ";"2016JJ00";"";"";""
"263";"T001100";"CR13  ";"2017JJ00";"";"";""
"264";"T001100";"CR14  ";"2010JJ00";"";"";""
"265";"T001100";"CR14  ";"2011JJ00";"";"";""
"266";"T001100";"CR14  ";"2012JJ00";"";"";""
"267";"T001100";"CR14  ";"2013JJ00";"";"";""
"268";"T001100";"CR14  ";"2014JJ00";"";"";""
"269";"T001100";"CR14  ";"2015JJ00";"";"";""
"270";"T001100";"CR14  ";"2016JJ00";"";"";""
"271";"T001100";"CR14  ";"2017JJ00";"";"";""
"272";"T001100";"CR15  ";"2010JJ00";"";"";""
"273";"T001100";"CR15  ";"2011JJ00";"";"";""
"274";"T001100";"CR15  ";"2012JJ00";"";"";""
"275";"T001100";"CR15  ";"2013JJ00";"";"";""
"276";"T001100";"CR15  ";"2014JJ00";"";"";""
"277";"T001100";"CR15  ";"2015JJ00";"";"";""
"278";"T001100";"CR15  ";"2016JJ00";"";"";""
"279";"T001100";"CR15  ";"2017JJ00";"";"";""
"280";"T001100";"CR16  ";"2010JJ00";"";"";""
"281";"T001100";"CR16  ";"2011JJ00";"";"";""
"282";"T001100";"CR16  ";"2012JJ00";"";"";""
"283";"T001100";"CR16  ";"2013JJ00";"";"";""
"284";"T001100";"CR16  ";"2014JJ00";"";"";""
"285";"T001100";"CR16  ";"2015JJ00";"";"";""
"286";"T001100";"CR16  ";"2016JJ00";"";"";""
"287";"T001100";"CR16  ";"2017JJ00";"";"";""
"288";"T001100";"CR17  ";"2010JJ00";"";"";""
"289";"T001100";"CR17  ";"2011JJ00";"";"";""
"290";"T001100";"CR17  ";"2012JJ00";"";"";""
"291";"T001100";"CR17  ";"2013JJ00";"";"";""
"292";"T001100";"CR17  ";"2014JJ00";"";"";""
"293";"T001100";"CR17  ";"2015JJ00";"";"";""
"294";"T001100";"CR17  ";"2016JJ00";"";"";""
"295";"T001100";"CR17  ";"2017JJ00";"";"";""
"296";"T001100";"CR18  ";"2010JJ00";"";"";""
"297";"T001100";"CR18  ";"2011JJ00";"";"";""
"298";"T001100";"CR18  ";"2012JJ00";"";"";""
"299";"T001100";"CR18  ";"2013JJ00";"";"";""
"300";"T001100";"CR18  ";"2014JJ00";"";"";""
"301";"T001100";"CR18  ";"2015JJ00";"";"";""
"302";"T001100";"CR18  ";"2016JJ00";"";"";""
"303";"T001100";"CR18  ";"2017JJ00";"";"";""
"304";"T001100";"CR19  ";"2010JJ00";"";"";""
"305";"T001100";"CR19  ";"2011JJ00";"";"";""
"306";"T001100";"CR19  ";"2012JJ00";"";"";""
"307";"T001100";"CR19  ";"2013JJ00";"";"";""
"308";"T001100";"CR19  ";"2014JJ00";"";"";""
"309";"T001100";"CR19  ";"2015JJ00";"";"";""
"310";"T001100";"CR19  ";"2016JJ00";"";"";""
"311";"T001100";"CR19  ";"2017JJ00";"";"";""
"312";"T001100";"CR20  ";"2010JJ00";"";"";""
"313";"T001100";"CR20  ";"2011JJ00";"";"";""
"314";"T001100";"CR20  ";"2012JJ00";"";"";""
"315";"T001100";"CR20  ";"2013JJ00";"";"";""
"316";"T001100";"CR20  ";"2014JJ00";"";"";""
"317";"T001100";"CR20  ";"2015JJ00";"";"";""
"318";"T001100";"CR20  ";"2016JJ00";"";"";""
"319";"T001100";"CR20  ";"2017JJ00";"";"";""
"320";"T001100";"CR21  ";"2010JJ00";"";"";""
"321";"T001100";"CR21  ";"2011JJ00";"";"";""
"322";"T001100";"CR21  ";"2012JJ00";"";"";""
"323";"T001100";"CR21  ";"2013JJ00";"";"";""
"324";"T001100";"CR21  ";"2014JJ00";"";"";""
"325";"T001100";"CR21  ";"2015JJ00";"";"";""
"326";"T001100";"CR21  ";"2016JJ00";"";"";""
"327";"T001100";"CR21  ";"2017JJ00";"";"";""
"328";"T001100";"CR22  ";"2010JJ00";"";"";""
"329";"T001100";"CR22  ";"2011JJ00";"";"";""
"330";"T001100";"CR22  ";"2012JJ00";"";"";""
"331";"T001100";"CR22  ";"2013JJ00";"";"";""
"332";"T001100";"CR22  ";"2014JJ00";"";"";""
"333";"T001100";"CR22  ";"2015JJ00";"";"";""
"334";"T001100";"CR22  ";"2016JJ00";"";"";""
"335";"T001100";"CR22  ";"2017JJ00";"";"";""
"336";"T001100";"CR23  ";"2010JJ00";"";"";""
"337";"T001100";"CR23  ";"2011JJ00";"";"";""
"338";"T001100";"CR23  ";"2012JJ00";"";"";""
"339";"T001100";"CR23  ";"2013JJ00";"";"";""
"340";"T001100";"CR23  ";"2014JJ00";"";"";""
"341";"T001100";"CR23  ";"2015JJ00";"";"";""
"342";"T001100";"CR23  ";"2016JJ00";"";"";""
"343";"T001100";"CR23  ";"2017JJ00";"";"";""
"344";"T001100";"CR24  ";"2010JJ00";"";"";""
"345";"T001100";"CR24  ";"2011JJ00";"";"";""
"346";"T001100";"CR24  ";"2012JJ00";"";"";""
"347";"T001100";"CR24  ";"2013JJ00";"";"";""
"348";"T001100";"CR24  ";"2014JJ00";"";"";""
"349";"T001100";"CR24  ";"2015JJ00";"";"";""
"350";"T001100";"CR24  ";"2016JJ00";"";"";""
"351";"T001100";"CR24  ";"2017JJ00";"";"";""
"352";"T001100";"CR25  ";"2010JJ00";"";"";""
"353";"T001100";"CR25  ";"2011JJ00";"";"";""
"354";"T001100";"CR25  ";"2012JJ00";"";"";""
"355";"T001100";"CR25  ";"2013JJ00";"";"";""
"356";"T001100";"CR25  ";"2014JJ00";"";"";""
"357";"T001100";"CR25  ";"2015JJ00";"";"";""
"358";"T001100";"CR25  ";"2016JJ00";"";"";""
"359";"T001100";"CR25  ";"2017JJ00";"";"";""
"360";"T001100";"CR26  ";"2010JJ00";"";"";""
"361";"T001100";"CR26  ";"2011JJ00";"";"";""
"362";"T001100";"CR26  ";"2012JJ00";"";"";""
"363";"T001100";"CR26  ";"2013JJ00";"";"";""
"364";"T001100";"CR26  ";"2014JJ00";"";"";""
"365";"T001100";"CR26  ";"2015JJ00";"";"";""
"366";"T001100";"CR26  ";"2016JJ00";"";"";""
"367";"T001100";"CR26  ";"2017JJ00";"";"";""
"368";"T001100";"CR27  ";"2010JJ00";"";"";""
"369";"T001100";"CR27  ";"2011JJ00";"";"";""
"370";"T001100";"CR27  ";"2012JJ00";"";"";""
"371";"T001100";"CR27  ";"2013JJ00";"";"";""
"372";"T001100";"CR27  ";"2014JJ00";"";"";""
"373";"T001100";"CR27  ";"2015JJ00";"";"";""
"374";"T001100";"CR27  ";"2016JJ00";"";"";""
"375";"T001100";"CR27  ";"2017JJ00";"";"";""
"376";"T001100";"CR28  ";"2010JJ00";"";"";""
"377";"T001100";"CR28  ";"2011JJ00";"";"";""
"378";"T001100";"CR28  ";"2012JJ00";"";"";""
"379";"T001100";"CR28  ";"2013JJ00";"";"";""
"380";"T001100";"CR28  ";"2014JJ00";"";"";""
"381";"T001100";"CR28  ";"2015JJ00";"";"";""
"382";"T001100";"CR28  ";"2016JJ00";"";"";""
"383";"T001100";"CR28  ";"2017JJ00";"";"";""
"384";"T001100";"CR29  ";"2010JJ00";"";"";""
"385";"T001100";"CR29  ";"2011JJ00";"";"";""
"386";"T001100";"CR29  ";"2012JJ00";"";"";""
"387";"T001100";"CR29  ";"2013JJ00";"";"";""
"388";"T001100";"CR29  ";"2014JJ00";"";"";""
"389";"T001100";"CR29  ";"2015JJ00";"";"";""
"390";"T001100";"CR29  ";"2016JJ00";"";"";""
"391";"T001100";"CR29  ";"2017JJ00";"";"";""
"392";"T001100";"CR30  ";"2010JJ00";"";"";""
"393";"T001100";"CR30  ";"2011JJ00";"";"";""
"394";"T001100";"CR30  ";"2012JJ00";"";"";""
"395";"T001100";"CR30  ";"2013JJ00";"";"";""
"396";"T001100";"CR30  ";"2014JJ00";"";"";""
"397";"T001100";"CR30  ";"2015JJ00";"";"";""
"398";"T001100";"CR30  ";"2016JJ00";"";"";""
"399";"T001100";"CR30  ";"2017JJ00";"";"";""
"400";"T001100";"CR31  ";"2010JJ00";"";"";""
"401";"T001100";"CR31  ";"2011JJ00";"";"";""
"402";"T001100";"CR31  ";"2012JJ00";"";"";""
"403";"T001100";"CR31  ";"2013JJ00";"";"";""
"404";"T001100";"CR31  ";"2014JJ00";"";"";""
"405";"T001100";"CR31  ";"2015JJ00";"";"";""
"406";"T001100";"CR31  ";"2016JJ00";"";"";""
"407";"T001100";"CR31  ";"2017JJ00";"";"";""
"408";"T001100";"CR32  ";"2010JJ00";"";"";""
"409";"T001100";"CR32  ";"2011JJ00";"";"";""
"410";"T001100";"CR32  ";"2012JJ00";"";"";""
"411";"T001100";"CR32  ";"2013JJ00";"";"";""
"412";"T001100";"CR32  ";"2014JJ00";"";"";""
"413";"T001100";"CR32  ";"2015JJ00";"";"";""
"414";"T001100";"CR32  ";"2016JJ00";"";"";""
"415";"T001100";"CR32  ";"2017JJ00";"";"";""
"416";"T001100";"CR33  ";"2010JJ00";"";"";""
"417";"T001100";"CR33  ";"2011JJ00";"";"";""
"418";"T001100";"CR33  ";"2012JJ00";"";"";""
